Institution,Sub-Account
University of Calgary,@UCalgaryLaw
University of Calgary,@UCalgaryRes
University of Calgary,@UCalgary_FSW
University of Alberta,@uaextension
University of Alberta,@UAlbertaLaw
University of Alberta,@BearsandPandas
University of Lethbridge,@ULethbridgeNews
University of Lethbridge,@ULethbridgeEdu
University of Lethbridge,@ulethlibrary
Athabasca University,@au_press
MacEwan University,@MacEwanLib
MacEwan University,@SustainMacEwanU
MacEwan University,@DocSaucier
Mount Royal University,@MRULibrary
Mount Royal University,@MRUCougars
Mount Royal University,@MRUConservatory
Northern Alberta Institute of Tech,@NAITCampusRec
Northern Alberta Institute of Tech,@naitooks
Northern Alberta Institute of Tech,@NAIThealthsci
Southern Alberta Institute of Tech,@SAITculinary
Southern Alberta Institute of Tech,@SAIT_Trojans
Bow Valley College,@BVC_LSS
Bow Valley College,@BVCGlobalAccess
Grande Prairie Regional College,@GPRCConEd
Grande Prairie Regional College,@GPRCResGPCampus
Grande Prairie Regional College,@GPRCPrez
Keyano College,@Keyano_Fdn
Keyano College,@keyanohuskies
Keyano College,@KeyanoHR
Lakeland College,@LC_Business1
Lakeland College,@GoRustlers
Lakeland College,@LakelandAg
Lethbridge College,@LC_Research
Lethbridge College,@LC_SOTL
Lethbridge College,@LC_Kodiaks
Medicine Hat College,@mhclibrary
Medicine Hat College,@MHC_CS
NorQuest College,@NorQuestLibrary
NorQuest College,@NorQuestPrez
NorQuest College,@nqlearns
Olds College,@Ocagmgmt
Olds College,@OCBrewmaster
Olds College,@OldsBroncos
Portage College,@WeAreVoyageurs
Portage College,@pcliblc
Portage College,@PortageHR
Red Deer College,@rdclibrary
Red Deer College,@ctlrdc
Red Deer College,@RDC_MPA
Ambrose University,@BhsAmbrose
Ambrose University,@CndPovertyInst
Burman University,@BurmanURegistra
Concordia University of Edmonton,@CUE_Intl
Concordia University of Edmonton,@CUE_President
The Kings University,@KingsEagles
St Marys University,@GerryTStMU
St Marys University,@StMU_Library
